idFrame,name,Count
756,Obras_de_arte_físicas,14
58,Auto_movimento,11
157,Prédios,9
175,Locais_políticos,9
183,Vias,9
491,Idade,9
30,Gesto,8
535,Origem,8
60,Percepção_ativa,7
278,Pessoas,7
374,Artes_performáticas,7
398,Veículo,7
94,Agregado,6
524,Pessoas_por_vocação,6
611,Substâncias,6
956,Causar_perceber,6
272,Texto,5
1375,Partes_do_corpo,5
169,Subpartes_de_prédios,4
171,Locais_naturais,4
176,Locais_por_uso,4
392,Cor,4
618,Campos,4
1190,Proximidade_não_graduável,4
123,Vestuário,3
359,Intoxicantes,3
490,Peça_arquitetônica,3
101,Cenário_da_educação,2
131,Parte_orientacional,2
178,Agir_intencionalmente,2
337,Negócios,2
382,Intérpretes_e_papéis,2
466,Causar_fazer_barulho,2
479,Conversar,2
486,Atributos_mensuráveis,2
957,Representação,2
1000,Tamanho,2
1029,Subpartes_de_artefato,2
1187,Plantas,2
1187,Plantas,2
3,Movimento,1
12,Manipulação,1
23,Julgar,1
48,Chegar,1
56,Colocar,1
67,Liderança,1
71,Causar_expansão,1
162,Comércio_pagar,1
179,Relação_locativa,1
196,Números_cardinais,1
237,Abundante_em,1
238,Ingestão,1
252,Alimentos_e_bebidas,1
277,Clima,1
295,Empregar,1
300,Formas,1
350,Costume,1
377,Fabricação,1
379,Pegar,1
390,Artefato,1
470,Sons,1
493,Pessoas_por_origem,1
505,Fazedores_de_barulho,1
621,Ingredientes,1
623,Alcance,1
716,Familiaridade,1
748,Deslocamento_intencional,1
791,Dinheiro,1
846,Local_animado,1
921,Confrontar_problema,1
996,Impressão,1
999,Coletivo_em_eventos_sociais,1
1046,Modo_de_viver,1
1063,Revolução,1
1120,Representante,1
1140,Nível_de_luz,1
1253,Serviços_em_alimentação,1
1270,Dançar,1
1423,Serviço_em_alimentação,1
